T1C1,T1C2,T1C3,T1C4,T1C5,T1C6,T1C7,T1C8,T1WB1,T1WB2,T1WB3,T1WB4,T1WB5,T1WB6,T1WB7,T1WB8,T2C1,T2C2,T2C3,T2C4,T2C5,T2C6,T2C7,T2C8,T2WB1,T2WB2,T2WB3,T2WB4,T2WB5,T2WB6,T2WB7,T2WB8,T3C1,T3C2,T3C3,T3C4,T3C5,T3C6,T3C7,T3C8,T3WB1,T3WB2,T3WB3,T3WB4,T3WB5,T3WB6,T3WB7,T3WB8,T4C1,T4C2,T4C3,T4C4,T4C5,T4C6,T4C7,T4C8,T4WB1,T4WB2,T4WB3,T4WB4,T4WB5,T4WB6,T4WB7,T4WB8
284311483,359139654.7,360683394,371577846.1,272875627.7,373670765,269336478.1,645962306.2,355544490.9,395331254.9,245191174.1,355192417.3,263553843.8,208806990.3,199361532.1,650297973.3,355848448.2,295059444.8,409839217,394532493.9,568828731.7,555764077.8,492760015.8,492001198.4,314481415.7,387808056.1,429640682.5,326023136.1,465529658.4,392694468.7,502151287.8,401284574,80102383.23,214787660.9,45484176.5,48867061.28,58549595.74,135457925.8,53943805.86,315789029.2,51268242.76,347776233.9,48827889.36,98302916.03,342533429.7,41659189.09,322631518.9,217312313.5,78531093.18,87563378.8,76117523.88,49953910.41,38500880.36,165402004.4,41389403.43,50085356.91,69053532.57,35240581.33,122495070.9,41749465.34,127552045.8,37744222.88,101324892.1,106497046.6
8633371.413,5204240.144,7298692.192,4770723.036,4416456.843,3355258.523,11176517.76,4592835.897,4925141.916,3520759.093,5196656.201,8977250.818,2632589.071,2006427.163,8021300.977,4056874.293,2685718.653,5935370.335,1813003.357,3148707.609,4958088.057,3022670.434,3288545.17,5095805.52,5359409.31,1922377.985,4287444.619,1713554.508,5518920.047,5475047.121,4873159.685,3491573.184,4000625.92,3868801.479,5850168.984,3233467.364,3742343.144,4672443.358,7088765.89,7829549.267,2396775.238,2602851.119,4439372.812,4724222.237,5046874.565,6452819.19,8584886.021,4701373.612,3839103.623,5029301.094,8946303.666,4591520.173,2366778.944,5704511.823,5516497.886,2090769.062,1571639.753,2457098.712,8651506.346,5677563.25,4172773.166,5631609.649,8054669.396,3407131.371
56867871.34,84977137.42,82950451,67815266.32,93980417.72,88523385.59,90135167.49,144239843.8,112708895.5,94870910.43,104022889.5,49133520.2,86791882.3,112365379.1,80222139.01,158390383.5,68259665.45,71985364.69,81741982.12,59100933.48,93292404.89,110242819.3,123060838.9,60824003.6,44634134.08,71701387.82,80812276.67,76504418.36,52355477.17,66471301.69,82604956.33,90191004.8,66988858.47,96566454.51,59734184.04,47856330.47,76424074.86,91155470.48,68444102.94,65406604.43,87970195.67,66899797.67,57588097.93,58429264.55,53857791.85,79972675.56,80927226.77,63353294.2,56337516.27,62173760.47,58931490.17,45209018.77,75615471.55,66822583.24,65668011.27,96313306.68,65501107.55,54974808.36,49939633.54,44840378.38,37898109.14,61773793.38,46236788.42,64038826.25
7788315.251,6395090.713,7364855.254,6258766.982,6363221.075,6161539.161,3041828.537,7440478.866,6610639.432,7822998.684,8125205.366,6139239.341,6182089.856,6798195.235,6853753.508,11276296,5745097.982,5865074.709,8438411.924,5369755.36,6062921.397,8091078.833,7546886.729,4778220.564,5384937.149,6535100.596,5888915.319,5198353.63,4128622.951,4869384.63,4942536.325,7798420.424,4528810.175,5251678.34,3952375.08,3866763.357,4777261.51,5599903.41,5287568.961,5279708.08,3756842.924,7130871.573,3746337.946,4562250.35,4213337.182,5360814.188,6197825.526,5925209.907,5580255.651,5421567.487,5037330.263,3359412.392,5426635.879,6479263.428,5133969.645,5704498.171,4733764.588,5965803.751,4400076.723,5717689.223,2679977.01,3791377.546,4624128.045,5478222.325
54188324.78,73954606.26,77455840.12,71258275.76,78748879.82,66086319.58,66221584.82,113330154.5,74916481.42,96332459.47,104604370.7,71744945.74,72768566.39,69702089.77,80205356.22,132612115.2,55426098.98,55503195.68,66761256.28,59942927.15,57610236.89,59717485.11,77057240.85,55061428.02,38541521.06,52340504.73,71740517.72,52363227.5,44576692.08,46742125.71,62278686.09,65305568.99,51824468.04,134777824.5,70796387.39,64340943.5,60968073.75,82042080.78,62427646.93,64813181.48,107789031.4,59994764.44,72166683.05,57389765.86,52108932.49,81516686.24,73761437.49,57971444.53,50767667.83,90980564.81,72968922.75,74622135.43,142080920.8,54629841.51,130459344.3,280290687.8,104020653.6,58145515.45,72236368.68,50082839.87,36476810.8,101057448,44988411.33,61298082.35
66925627.46,108000574.7,69171659.51,46009039.2,98695501.29,72958920.63,79488163.37,98161458.28,107883425.3,110309190.6,97180936.03,61925106.44,86602002.63,102525684.8,66507293.55,116669684.6,67717378.71,65699901.15,55347589.14,44298956.37,64844085.69,65114467.88,88145548.62,38449702.55,55248633.28,52272359.07,60468038.16,71710006.28,45025306.76,40498497.86,48328837.16,56027127.34,27044717.83,91996577.27,27480683.28,50308750.13,63831438.61,28980985.58,30747541.89,25523348.49,131269962.1,39927007.11,29690605.73,30114937.19,27114320.21,35194174.91,38312096.08,30631569.34,38229236.16,55706587.63,34342458.11,26933301.27,148695669.5,18983754.32,68338766.62,109127161.6,48798656.06,33459568.43,23702333.56,25765984.47,17421065.37,59866576.14,20315780.78,51145905.7
6570817.492,8329845.911,6360188.528,6599093.962,10479512.57,6495325.034,9653510.628,8710437.65,9528493.033,6254707.36,11547826.47,6070055.966,9922354.541,9039338.517,9220777.937,11061801.32,7832744.26,4670860.563,5694663.804,8340577.455,7429490.243,6098413.786,12271981.84,4747308.791,6214798.937,3721554.147,6929231.561,6715198.112,5693989.973,4979451.699,6750833.509,5601371.488,6022652.07,5373962.061,4633304.352,7621294.136,7038014.096,5098253.079,7860566.575,4536681.834,5519808.51,3942474.569,6361186.038,5014482.153,5987728.014,5191347.841,2757169.805,4655333.5,5590960.912,5071115.158,5705338.419,6629115.578,3270472.357,2725257.998,5841950.477,5006466.439,4562577.122,3106087.948,4403868.656,4455615.017,3062164.034,3381547.377,2806456.165,3987250.644
70418784.59,151132773.8,88976638.5,67057759.47,203347017.8,80958729.13,82896207.6,240546769.7,150366538.3,127310055.9,184633211.7,110011790.1,92907197.97,94162002.41,59313472.85,192351550.4,66161750.6,64260335,70340046.89,61143801.89,102662068.8,61194964.55,121983935.1,65316410.95,44100879.25,64417347.4,85057816.55,107507121,35991885.99,40115532.2,55313694.96,81999178.77,25397909.46,41334448.06,33039109.61,25005941.1,39587762.95,28870495.73,33215051.8,37024415.79,60959764.7,40092868.41,36542870.63,34300782.17,29917251.56,28892088.07,37448209.52,39218611.27,31794483.03,31235459.89,24732343.87,28387545.7,51770908.57,22337366.2,31040475.36,41507929.63,30544941.17,26793351.97,27411833.79,28974602.49,17572030.84,28965783.4,19804215.22,37678741.41
16740344.77,143303673.7,22832431.89,7704112.838,14356058.98,21418186.07,17872613,14193512,13333477.57,8131554.23,735512.3538,3162758.892,56430327.3,23242060.17,65451749.21,22318003.57,74611089.15,17099316.12,5051613.614,5314328.975,14373344.98,14292274.22,55252644.56,7062759.071,12916189.49,4126351.944,13032336.64,68896356.89,34468982.51,10210639.91,15079660,3900544.688,4457506.268,15757966.74,7478660.465,21057711.66,29398895.64,18659826.96,18418699.78,9846199.553,22733471.07,3608163.545,34340791.71,2322415.587,1454966.599,31259753.31,34985462.49,10901228.69,2905719.376,26154223.43,58102452.38,6443130.491,14608092.62,19556785.48,23394047.51,4298012.906,326272.4124,6647998.43,17203645.94,8241699.166,18104823.54,14459292.42,17640424.15,15947215.11
258683957.9,556359128.3,397759512.2,270233691.5,708995756.5,315448648.4,337566272.3,947216921.8,563896546.4,512474137.5,617358314.5,385345085.4,381263320.9,344685805.8,248899420.3,740967706.7,281743834.7,266160888.9,328478406.6,224220369.3,397512648.1,263232083.8,442322266.6,226490753,179944672.9,277822800.1,355246506.8,405947375.7,151891456.1,148800355.4,204788939.5,321263001.3,103920281.6,163043595.3,150932528.4,97091375.6,156721471.5,120668854,139348474,149499649.3,235923300.2,154341172.8,142081451.4,138907332.1,117734908.7,118993677.6,140478127.8,164648404.2,115259889.3,108262440.8,121263353.5,110580364.7,164967324.1,79319793.28,128223359.2,159961293,116110360.4,109557437.1,112134329.1,118806754.3,60866419.12,107116683.9,74975250.16,140237563.9
1554767451,4152362625,1783830899,1125499109,3422725523,1662388197,1949849528,5115770843,2186853875,2632614726,3731658066,776433202.6,3450234596,2221275030,1969513199,2846492199,2648884127,826299029.9,419116883.4,497057830.7,1337041415,2251642157,5133801316,635191811.3,1052182769,548629405.9,922121340.1,3256903430,388951431.1,335864229.9,674039058.3,553097213.6,693688180.5,1081102602,333089541.4,883418764.3,755108540.4,574467447,934027624.3,152140049.3,1216776424,248390955.8,274303368.2,485924005.8,132028976.5,232364837,1165486533,153796609.7,416098037.9,733242163.3,479268175,376115487.8,593623912.6,148188933.9,457438408.1,944701638.3,345158313.7,261563501.3,27763962.09,338451375.3,199669307.1,508506240.6,167611568.3,235070250.5
73696455.21,72911449.35,70074748.38,64568399.09,67097757.17,52478293.44,72735252.42,106254377.7,50679179.88,93240571.57,75485553.27,55427613.37,78792316.06,60555021.49,58332860.47,85738347.79,53474087.44,42079659.03,66553446.55,47150504.82,59336852.17,57651650,58107385.39,60228866.92,47806722.09,58494569.28,55945566.43,63830104.49,43574667.12,40934921.46,65946987.81,55941536.23,15873920.14,43204625.62,43012260.78,35216603.85,50141278.06,50997041.71,44263806.53,54906285.14,33206057.53,45889337.77,49694907.96,48684965.79,51228119.86,38588319.94,50513032.22,57585889.79,47287633.47,55203779,33620724.08,50126892.37,53251746.69,45934316,44567490.6,51691555.91,52924470.4,53455785.98,42042859.28,57522085.26,42305540.38,47326606.76,41746020.38,48197160.3
309885917.4,224667556.5,261888601.8,159207401.7,241736858.3,243327083.4,290594910.1,457387861.6,247575501.4,265762740.2,309589043.1,326716575.9,274632344.4,244056813,369346610.3,405383708,181939329.3,343222065.4,317246882.5,310294829.2,303936766.7,246407579.6,284790153.9,299898228.6,288245926.1,205839627.5,234148506.7,197687999.8,199840563.8,242257195.1,213662883.1,234415584.6,208498354.2,177885916.6,342266692.2,172861456.6,205194150.2,204163051.5,256091927.1,266263575.2,147841546.4,327044305.5,293109770.2,244880722.6,232421129.8,157771375.6,268839903.2,191836387.9,176355831.8,181613428.8,252229775,155272653.2,104030605.8,113637673.8,141104796.6,236178637.1,177569089.6,167938057.2,181438449.6,178848184.7,112519588.3,111892931,111683517.4,100962336.5
5597416.762,10135172.86,7728878.355,7410690.237,10328779.09,6039022.734,8384104.105,13196036.9,10396092.13,8397994.544,7854408.074,6804454.517,8943352.692,10195149.54,7455799.048,10526818.81,7290004.316,10899476.88,7943829.554,6376369.47,9102289.021,15178114.51,13230138.48,6459789.871,6055668.154,5995161.372,4872178.122,6898352.955,4917875.092,5824286.513,7000082.177,6199260.324,7543045.066,9236810.658,7921597.91,8091652.999,8820020.575,11540941.14,9735043.397,8327216.32,8593139.776,8067341.763,8547579.383,8218570.873,10394911.67,8616485.502,7399974.294,7394555.76,7875523.671,10273850.69,9356381.181,7669437.157,8105094.09,8907662.828,9121939.099,9499202.26,7019417.324,7274579.739,12150432.1,7668464.148,6042622.722,8701658.983,6069905.483,9295171.623
8183752.319,12341236.63,7085710.285,8829279.916,5277724.454,10924294.32,19313425.59,8389464.705,6011560.014,6821299.427,15839632.01,4153419.918,14514056.01,7714847.981,13123449.26,7502747.112,11298827.81,4200985.092,5103283.075,5397370.368,4005828.953,10408060.04,19057645.97,4326046.349,5038859.624,4136726.969,4132423.5,7155568.326,3688404.863,3143891.656,5104155.823,4168520.935,19797355.16,22629972.7,18761644.18,40791309.62,19057506.59,28578808.61,24254171.56,6212622.869,42354596.26,8013716.075,11310738.76,17879704.99,5283635.831,12090951.87,33155184.25,6942406.723,23053091.05,26178632.32,43750500.31,30992025.27,22168151.39,4810133.417,15772849.15,19493500.05,14696029.38,9624012.407,4047841.008,10882089.29,13400639.5,18022890.6,7070199.938,7101348.785
