Tags,Name,Formula,T1C1,T1C2,T1C3,T1C4,T1C5,T1C6,T1C7,T1C8,T1WB1,T1WB2,T1WB3,T1WB4,T1WB5,T1WB6,T1WB7,T1WB8,T2C1,T2C2,T2C3,T2C4,T2C5,T2C6,T2C7,T2C8,T2WB1,T2WB2,T2WB3,T2WB4,T2WB5,T2WB6,T2WB7,T2WB8,T3C1,T3C2,T3C3,T3C4,T3C5,T3C6,T3C7,T3C8,T3WB1,T3WB2,T3WB3,T3WB4,T3WB5,T3WB6,T3WB7,T3WB8,T4C1,T4C2,T4C3,T4C4,T4C5,T4C6,T4C7,T4C8,T4WB1,T4WB2,T4WB3,T4WB4,T4WB5,T4WB6,T4WB7,T4WB8
D,alpha-Santonin,C15 H18 O3,644728.1683068277,1605079.87594718,846107.477832226,1161706.8286143001,2582082.8568435386,1370354.7147167532,861897.9293999317,1283424.3421326089,1088433.257122344,1338030.1049597254,676179.3851424363,750939.5447104088,1640169.377196947,2134220.7741964483,879798.6704430213,1088025.2328809903,1058484.1671463568,1532452.8469080233,953668.2783800516,1495129.511416081,2883059.9972265777,2302608.1270072954,2359800.235491703,951082.1982864258,1278995.1862639259,1078430.680309674,1206286.9346863807,740659.7008447408,1662362.84297403,1078929.390565537,1353833.1805711808,808962.9311997639,1732327.8462067158,5198653.69137743,1834604.5521282433,2387828.437674613,4101056.579111651,3865619.778584709,2377777.9419425167,2257967.7132861693,3147202.006541915,2918942.302162887,2532267.413447609,1232123.7111641925,3396348.0159784043,1909668.1422435779,1752685.171008727,1299177.521859168,2363030.970700815,3151591.61987379,2015769.4866563038,2442303.5188148143,1898580.499410528,3465732.5240748352,1876752.9974831655,3093427.632872289,2068634.335627661,1820701.1369815136,2594036.5592148355,1476757.0156364474,2378852.976513446,3585368.5931496643,1729519.2234141096,1632884.6045082905
B,AMINOISOBUTANOATE,C4 H9 N O2,104948315.50717631,77422250.80881463,86726324.09417515,99592937.37096815,73910243.6799794,60667903.04899153,82242404.76749751,114844389.30790137,85515156.78276147,94345510.71501528,109806822.45253977,82825412.4402966,100367163.37908675,104060786.97689693,92921793.71742891,70593700.55121374,129596214.44989362,118417853.54567194,113793792.0129,94435319.20985252,92247322.99140343,66275150.18024169,60593726.99402605,88714715.52432412,88830532.1680461,88671400.43358476,114612255.8190034,98217446.91007836,70545756.9365085,73970485.26129602,98675213.47323814,73375001.38956867,43592569.941383444,66990134.363242164,62486389.29294679,98841988.61052921,96749557.5642185,65337784.48861519,87835626.7311579,68970637.81789505,53529543.545802936,91435944.87218219,75600540.13342142,70800067.99957727,103661710.48008572,88576696.38262331,124875857.80700758,104807708.40544945,82337903.00070369,102426663.3632469,90754316.71380213,60778273.308655694,100983601.2839388,97608558.4499747,87343232.88669416,109687882.70160523,81598278.55212761,128660098.69373482,73048826.51340882,93346205.44441974,68620320.19929516,85375840.91483907,65003443.34913553,92580151.15610951
A,Anserine,C10 H16 N4 O3,213956704.67887968,394927659.1764416,388924762.94497806,466545217.55360436,354282448.6655137,331331045.6377708,331649915.57525074,370489136.4708568,365940610.89456624,314471965.0852716,267046040.6157503,289643474.3661454,356428124.0862107,416230778.4906451,282906405.97434866,496020968.5720079,419768577.9131845,583109065.0537642,414490040.838572,501923989.79719234,345465474.3856161,366980612.95968384,523549489.1543922,293343475.9000368,365423603.8885149,422637260.09726846,315546034.39812946,467078258.87680554,524445308.42733,472554933.3079297,453803474.6722447,438684966.8876332,211357777.31544906,511041371.1614245,235666421.36132133,416696546.4409214,289097715.88456964,442192014.9929774,410715304.36367613,473724811.85564494,448381452.50765866,491700608.9419376,440260713.89338,437119193.85204667,678608983.5636458,215387348.43151343,580614949.6490538,640588192.5299731,456262761.4252921,511902076.8772639,398711404.8768144,563375429.3282737,564614089.7666212,600845450.2004011,637445446.995347,539761091.4687765,627303083.6592171,553520319.4311132,515943090.4216587,726922661.5690886,495609667.962926,788633490.8545918,586835966.0846469,1014623568.7877367
C,Arabinose,C5 H10 O5,60723763.613983214,96460345.19596393,113791192.04055871,118417260.1087653,67858637.00312513,80975175.78701015,108582640.60303196,159839165.5734077,81076919.11035773,95700913.94136323,129607537.25155063,98948596.32620035,68383703.28722818,106389220.07613127,125845856.86504431,148278478.66146898,58704238.97063494,117373506.71723658,117258810.4995225,106138884.1270389,63782014.56234015,86668878.30447029,94718100.44150904,109070324.64662275,80191313.50242534,100646990.81186906,93669647.383438,75475472.35336655,44539400.7541732,113826498.92523307,112892527.58158182,105955519.44955495,54064352.81603005,80366671.03037544,80678396.39650753,75407938.0105413,67770496.65077777,85869297.53414334,99895396.97178349,146386542.0297399,59629904.579041675,95229751.5091612,90557668.27607995,83317801.38298146,62072868.95590891,96244070.18522346,109793234.65505247,87341646.85483581,67470396.74537662,91588630.89252222,83477306.77509478,85825842.57844365,73081090.16764146,86093568.70230392,83762910.17291836,121672613.52593638,76283473.4769795,111222155.84187727,100188538.40553881,86371199.49811316,44067315.66459291,101109831.72167328,81767254.84919594,68307709.23776145
A,Arabitol,C5 H12 O5,12431362.467993202,14623368.19715345,10626741.823555,15374782.120718455,17256047.065068256,18154242.694514465,15338391.169667585,24280920.357191753,15753583.921523858,19728632.983586133,24605483.837824903,11134640.361172823,22122844.367539793,22288214.866674677,19930863.455192484,28450265.370955013,12660168.047357889,9868347.011640212,7744574.113535113,13819482.33036125,10193657.933243223,19217104.809229974,16532420.662332393,11331625.554890059,6376352.4121857565,11185988.734814089,15874639.685749188,11664175.64687165,9477739.82979836,8129210.302922333,14997790.381858287,14081505.531345826,9654403.109786756,16099022.550532203,6035557.509685595,14019288.10448264,10469802.946389807,17254640.677114774,10639293.578685928,13302746.374846416,6878159.482402883,8820314.840728547,10595193.771760616,7522183.449636221,10408098.652218008,11082437.403822372,15021922.544297729,11556573.282563537,11464240.333411444,7251559.608730252,7010925.46590474,11188262.400703957,12649284.257214688,9227114.995689921,13103242.5262154,19035113.517920684,7238231.032094635,11936319.085216211,10270722.169742795,6864998.003437135,8196609.703706197,6913394.534510615,8283017.683853252,10639649.690988485
A,Arginine,C6 H14 N4 O2,1384255339.307122,1738241261.8576708,1671654880.8890917,1007596485.5126797,1264372894.5816228,1425078199.3035626,1266781049.297779,1851797730.8872838,1257516966.2165241,1658987898.7166157,1057683322.9989891,700204072.2448045,1133077146.412353,1331652475.116186,1670353077.4126344,1650161201.4297543,1551243410.1463487,783280903.7503169,945527963.0945922,850495779.1594318,1088211470.947741,1410769628.3216028,1539668675.1250708,519885306.8218824,787353976.951326,1075256267.848536,568882646.9196906,1130446317.7325523,418149569.458946,650411555.9772471,909472530.0434818,720872789.9112762,1015240213.3413537,1637585700.288126,897889760.9237314,1333620612.8642979,1148061632.2941656,1433578653.4263058,1045001027.9513935,551244203.2515521,1133935295.6849718,1339459073.1510224,838846894.6089479,1007026725.3056014,374971186.05994177,862529311.9308136,1719007709.3612914,828201322.6768041,814172914.5132637,1148843807.9865737,954620244.5523957,1030832938.2721524,778897822.0196491,1067734873.2552266,469611903.00769144,492032734.51058346,1145848073.1096427,1559851594.8203683,784116304.813761,988738643.5835215,463352282.17722994,1022898824.2657665,1340167428.013533,927629770.5198494
A,Argininosuccinic acid,C10 H18 N4 O6,3525268.93912867,4165234.3966154787,4949588.934170165,4729774.799172894,4316880.269273015,4191272.965742497,3368569.3983180164,8288428.303426072,4141088.972569554,7096880.251889144,5461051.580353604,2595392.4460256333,3904194.8390325783,4087709.9396784743,5087844.285046682,7192373.663471506,2685308.4987961324,3063599.177658995,3831868.5652302955,3746404.3503607656,2612087.2001342555,3573139.9872319675,3203361.094320807,3493851.652229034,1805813.2992500162,3919270.633934111,3578425.2438701275,1772960.4665144058,2257929.92338976,1977255.1410290536,3474021.785640959,3006466.8235590174,2057247.5478645284,5563144.793508246,2545578.5745407008,2498610.167495648,2070831.0323447296,2971244.2236154387,1892354.714317754,3841398.614421397,3985597.936423904,3811299.293220704,2704243.192896086,1564926.003860625,2183547.70564153,3221944.2780743637,3905722.03292976,2667326.825749991,2194532.478003649,4070743.621954934,3469225.9146307367,3704803.083561681,6238404.150668395,1841776.8970995003,2733389.6734289546,7705879.06295661,2757776.798909753,5358643.082916915,3143723.8002095446,1469603.9149978901,1590805.6368929653,3050023.9881551918,2806363.5345263015,3538372.2573427153
A,ASPARAGINE,C4 H8 N2 O3,525950541.5846641,519425781.70068383,697899945.6031868,406589346.9094117,345766993.3977506,304209699.90583456,144747159.2753455,535989667.83057487,108550001.4912168,235215970.14710337,454118314.92226815,110607775.3838094,451935300.67833096,132147747.44599184,450959030.6606871,414853136.98972535,880711257.3279268,9700262.681812232,253377973.8829022,191153521.35901332,123375653.64482601,573850494.2272054,507279238.5697541,315242731.0570376,302551111.03326905,100226437.60976616,130947429.93538062,536963253.6915998,145732344.836877,157343414.0112423,180596007.6278394,189025903.2860942,324411357.13391227,9443431.610036876,42282926.88447828,112199250.06307188,201220502.64715296,459497590.0677362,346868789.1106539,162713646.47652793,7758634.11010657,6470862.52714511,5106690.443018767,6381542.027319826,6618629.297776762,354096555.490032,40666149.52651153,31561324.45952221,329692849.68801147,7386525.288576125,13709028.33913111,7162258.301971867,165661113.1250225,13991693.73754298,5725774.363188013,233313551.72259113,6266033.410677386,8060672.7007769365,5266939.960256426,7017529.908675714,4559112.534089263,4997123.784496625,7290241.95019129,5256031.953783775
A,ASPARTATE,C4 H7 N O4,629876844.2418386,859209289.9827011,552989000.8332808,706488680.159199,466974134.9158507,889820681.3747525,1253940313.7327034,756193738.8682735,883292187.2665879,753377221.6825185,498318270.95585,834430158.6045841,758586222.353393,721770058.2106285,656401250.8038106,701116746.7011495,571446872.5293456,1264322595.8757265,819497483.9619087,899757385.2850845,875914374.6815906,515762147.0990994,1076035871.796913,500937397.80334413,374588791.2192931,607391230.2331275,407755861.65359825,522982789.9815337,422569936.264957,576132072.0446087,560571683.0808027,603206032.8754977,1264129819.7262545,1370999057.457541,1197906432.2223673,2037917885.1514845,1182661319.6863363,1044692878.9487144,1228919422.995611,1028942719.426598,929766952.4850086,528083560.53564715,574353637.8371722,1144601993.7072978,594682242.1068724,1075926780.7197986,1402063507.410086,780268568.6726199,1173151708.800252,1831696320.8159285,1355506458.599558,1731315282.0469115,1320703906.1902618,1360657971.435769,1085527124.9663498,1719821975.4540389,1062274261.5520947,827093082.3757632,331642383.09750867,1052357942.2754043,661601068.8304924,638768458.2272756,754307785.5003008,621099741.9933648
A,BETA-ALANINE,C3 H7 N O2,1225578357.1012366,1561822451.310736,1345948114.0324657,912270390.4462504,1141052988.8367217,1178998002.9481978,895498058.8363091,1606081761.903836,853631377.400763,1091560175.4243731,1449374441.5527375,684955977.0345109,1161555814.6158447,1075704645.8856246,1242979360.140444,1558476665.320292,1440709837.7195554,735863947.6742594,843598744.4282287,596933810.504949,699897509.1570568,1512350620.6919498,1031602337.6724429,653884265.5384207,1025600076.9118726,780021676.7197206,827833329.8085377,1104753004.5417416,708961774.807354,676986062.2962073,745543182.888064,732148589.9733928,769520563.9060209,1368101534.436996,644759672.030573,935896755.1981139,772808484.8201332,1404748017.8662965,926714620.3647398,785799650.5554072,1198362131.5984387,1015649747.8902236,770087990.0808667,708097172.9749249,669960788.7768121,804711628.3254284,989075799.8194882,977245395.0991898,908791462.7166828,1095965615.3079498,841624417.5096154,818175453.4969695,1123087039.8655412,854885274.4602213,763797432.4804302,1154379024.042115,866106351.0139012,1169623741.8906274,650005043.5154303,772260602.4297675,693363878.9286292,723861220.735691,615506281.3337411,982052221.3923359
B,Beta-hydroxyisobutyrate,C4 H8 O3,628837907.1783565,1079511272.9045215,693293448.534564,382588254.3128859,703131051.2494581,499564506.11154276,550476166.2850997,698054823.2151484,891456958.8367336,1029436762.2728326,607590517.0642669,348945262.7330599,687742407.0058895,729684142.3062748,554545931.1568443,961622370.7693319,603314600.120921,643764675.7591387,403365178.4918866,414213181.6836184,515810322.1186684,600284337.5897145,759018439.3936961,379631157.78359187,398056133.48074776,448709900.8443575,465569597.4670508,457779037.7182351,405081276.699701,332389757.24448436,344376903.5439126,488405213.72829634,363948769.3023019,672476019.7231143,309330063.9823817,339741020.7345014,429416834.96779376,466470970.93526155,656574465.4383237,585024398.3108213,628509802.4928191,598139623.5405824,541669233.5848639,350240246.85206574,583257321.3953167,570576667.3149891,374296373.4552357,462665354.1503943,354351340.2752486,552270310.4749532,328283695.193377,365364392.7751116,276161817.98636365,352384445.4550977,510130282.99793136,536896705.1600516,541253966.4247917,479420910.46889824,611277686.1951798,365689176.2385372,366832702.222969,373817100.0335571,200994393.46403223,323846894.22767097
A,BETAINE,C5 H11 N O2,711069889.883296,950191209.7561375,741852917.0693165,675655011.7278283,852876893.019245,757114879.4326599,602227719.0528467,1167701161.1782887,767293178.2855133,909506498.8660023,772953731.5261706,512607389.8781411,705797842.7237636,819147161.6170704,829860049.836185,1032552520.2523878,669444512.0940027,597690715.5838112,767938880.306189,576237213.2164768,807189267.7662,836565782.8180014,829997458.2125145,514529463.72092164,436211396.43306696,543645374.5628908,566896512.9463866,598464605.7014936,343250092.474193,528484828.8615781,654216210.4584291,632031509.8107834,404260189.9951424,704109864.5086607,447862749.35307425,522622270.4387425,593591871.8756516,630481190.3708827,540233100.1599641,554471851.4699142,574702286.3500468,489620935.0494723,443380839.9730171,427409440.74515736,325128039.2680801,478681457.7829425,628200033.6753545,524666332.0302449,515787630.1535795,532926274.19466275,499684110.7864565,433292502.77929425,628369711.7489933,504621597.56111795,489417544.5368394,679708516.0922023,500083847.5474022,661292291.9938233,456881014.4605808,416187072.22036177,302381065.93697333,528861773.4105264,409889676.78444135,484975201.46534777
A,CARNOSINE,C9 H14 N4 O3,115286775.37738933,112980738.58699282,217795721.43301246,146492913.47213277,110236171.40921175,105632937.00985855,104114422.13925499,168340563.19201127,154690372.7676216,240445221.83142567,143894233.85263348,77913210.84403832,178617575.17929876,226485194.71930173,206582306.50054413,123230521.16896066,154931449.67105097,160014942.2529727,224597695.54427028,166567856.82750216,127006318.308091,108530696.9610542,128197499.3392298,73661862.7290246,124773673.61639348,296265906.00952667,160290643.4238143,102901788.5843302,260556439.596359,190959888.21349353,195000573.043463,93504592.5992994,122803336.69035994,192707275.54304457,241801385.79656968,220756247.4645673,135904148.15630138,184852824.04545084,143420028.03183645,138991639.804879,183337688.79215634,404528419.7763824,389193932.556301,125336020.10314192,305463532.56141645,194348794.36588526,237916506.17721328,199891783.3880272,212204237.08353037,197308011.78174204,353011242.09859616,232220178.42678314,285071943.72657144,200875027.41776916,225262538.1658095,122782009.79146665,220662089.25717774,534425025.27073866,373333564.6363134,182640935.19313586,264513382.61855245,359628461.0908833,223606343.70484227,277777002.69610465
A,Choline glycerophosphate,C8 H20 N O6 P,1961184.877521233,3977070.096437892,5996092.770963307,2720367.6024837787,10126604.028612304,6619705.897483864,10461853.674064916,7761277.41783942,7313472.981181461,8148227.9203813635,8067610.946558594,11056594.286081756,8229869.829629471,8436633.345207961,1632160.9179789373,11097593.418549774,3438592.764399172,9247948.135301396,10572967.628275352,2786035.8745723213,10643858.997505348,9034465.645109985,6349788.0415839655,2185538.351757565,1679736.9524585526,4369333.039330972,8106786.585017971,2653977.5754542383,2257830.99640962,1005850.8514666868,3305484.1926365783,7415270.586671808,4592691.743322636,6797891.150343296,7450632.921123313,5869876.141207709,1441561.8431772725,5946428.070810811,5255571.399433732,4865347.99953894,4429651.21655196,1222949.9862376489,3915627.629680527,8290020.038116754,5288695.195851201,987597.7096710908,5062794.321669528,2897787.4886095175,8663823.114204336,5943996.120819548,1583338.074370732,6274852.531648097,6881212.917465186,743238.1181703986,5302432.764141081,9406182.851834733,2807253.662587301,1549716.3689976248,708629.0867283709,5006523.974180821,1609735.7046081794,629430.6141955268,1434965.188837679,2078680.671358825
A,CIS-4-HYDROXY-D-PROLINE,C5 H9 N O3,505411781.6426834,744586388.025446,846064579.79851,763358380.7961278,556982511.3679024,595473676.60833,660358511.3499811,967875016.8719152,629993073.2215875,629836322.8189567,976951245.3456857,475363822.4462061,687816254.8120146,455216107.38828015,769800025.6874161,985458017.8807449,526806822.5940156,539582376.3351419,584137019.5570517,497457742.38057226,420233941.3040834,580036105.7062851,718419971.0912373,602575100.4930955,561254833.4489334,506632416.6581649,662723926.8097401,470713350.0848757,403628933.557969,346180189.0673156,701812568.2926669,589450710.6418592,275412477.97308236,629441014.121416,394641615.3288358,389880167.39158964,347658804.8556425,451217181.8116579,440934111.7739176,739168835.6239933,599045641.2630743,502429083.32479614,564577344.8686806,403217160.94713426,419046924.3973388,445725567.2179878,746659349.9067191,522085089.4432694,417294587.6931394,508431862.06786263,460652568.73782384,433443760.6017554,408931720.8502601,338782694.8357338,380328285.4028281,698715296.7246383,486024064.6778581,494822105.9735762,514846884.9891552,419192047.0644285,291788333.4416274,313363391.37152433,296874630.29427826,476758545.4750078
A,cis-Aconitic acid,C6 H6 O6,411176027.55304307,526215505.0227286,494956857.39285123,396365088.800451,589553028.9552822,543258409.6278298,517562369.5286209,762550691.3553935,435447609.2430253,542777399.6328475,463991401.5487137,472043500.6488227,466333121.87731755,464454167.9203509,459703560.2787612,509128838.0860489,366285695.1527395,347802797.2566305,357383481.3554703,364771907.87552774,326317871.5586396,430800889.9504447,494844019.80311066,381759370.74132204,299799577.2694351,296694183.0646351,351583144.34831136,355969913.01649684,316129757.528038,321703032.9982989,387612841.08641994,345303844.3106045,312023355.0075792,552685454.5673907,403857562.78917676,408806411.966447,330764114.1086846,387076810.2083438,438756758.38486713,392936736.3259368,459148613.76955587,321142117.6378599,328696310.7544059,378000423.2486301,328322073.22398704,271213248.189061,442838575.74362564,393778525.55314434,359875663.2586934,463333347.82748497,537084274.903964,435616236.58947337,431236508.8268198,344131932.8292998,501532443.1756051,503991175.54856265,339186233.65903324,404720207.7690253,318165078.82431984,384387051.9231151,296377301.30404407,506615742.69663906,301924936.44751954,549355829.6950545
C,Citraconic acid,C5 H6 O4,28015637.374426816,32777040.405638825,34136149.53971127,29197223.260184024,11716772.773465479,44825948.974368446,103150909.5138683,43788435.02775806,34175817.45732448,64042362.93513123,42255694.273035176,23745487.17682364,11097729.655224202,23033667.44532625,31751938.75614574,40613964.91228813,31825913.61300947,25020628.327642333,29502055.372246727,34685128.10762255,26251522.32335639,36582894.66834648,27007546.03619228,22751351.48473526,17943095.11887533,21898904.22628645,22204321.72376016,25790848.685262233,15253501.1321838,19676966.879889235,23208983.65567334,22052671.507735774,59086977.30491496,51890704.12668451,48886950.09694697,58443201.007093854,56149794.319718406,75134051.69520009,57492350.62431273,37782486.819671266,39075833.69853914,35872447.7929125,52887505.14311953,52448685.46792742,35679336.299983405,58396463.23733966,47691439.02215712,38420474.18206672,49848957.91618148,53794116.30266907,66243403.45713477,54837500.074579775,35905172.59998505,50185910.26041041,42844886.4872854,46523603.18362777,42254257.432317615,48899800.58370872,48269306.04208259,44642532.78714192,37030862.880197756,42154894.098129004,49559104.35190652,36735149.594891705
A,CITRATE,C6 H8 O7,4277078234.6063414,4741500566.44651,4895044195.593934,3381714706.795915,5618379904.957577,6454345575.172312,7210246849.452307,7250619114.5025425,4604593942.967625,5406958754.523132,4471479941.851062,4474195052.935181,5072929526.950654,4849500946.309743,3500132725.4026184,5541536450.913834,3450473730.938143,3068540476.844642,3653157191.6281967,3892365398.4796047,3163508884.211466,5106089228.454228,4676612918.607554,3465618764.5362678,2682034370.8475437,3046991676.458809,3016133060.0696874,3190571810.413794,3183484685.1451,2891780134.8379893,3490397638.577211,3310860631.796637,3107197480.1224594,6442679862.845828,4776443486.60266,3902823082.477783,3724360469.071959,4455030155.302763,4579455678.947855,3816562560.112859,4296710708.554639,3040498201.8755875,3388509295.2739677,4054610754.7446694,3697791611.618818,2847712887.333233,4332575484.759645,4525592704.297659,3960747571.9541054,4848492966.029372,5307484134.189172,5041395899.118444,4681108125.213477,3533543211.944727,5174260244.41119,5074833191.239016,3539120891.112677,4128939350.612305,3179967976.779204,4305241383.5561285,3289507362.6150293,4877980914.892131,3171945900.6016946,5556582703.138109
A,CITRULLINE,C6 H13 N3 O3,32174691.160631415,43399733.049830884,49135346.575601384,32410561.64223027,34212251.967025876,39900489.95284463,45530657.48774471,46108074.26243962,38609162.538669206,39788748.22956301,44927554.848891236,29355898.36320479,42025917.1968854,35652797.24134197,43290014.23069841,51529026.135867715,37739447.10392795,30968012.022117462,38740883.603251934,29079839.946176738,32892233.762711342,37217478.0088575,48630699.19160906,25937789.175859775,33035148.65250183,28009964.301237985,28387065.61086423,35447250.04498903,23921997.8597477,24305707.889332794,33105424.926276337,29317679.689039707,33118785.757587455,128382496.66228025,34841268.76676896,35516498.50408859,38610388.16979326,35499120.47082763,42579459.83555938,30603812.33305577,116544885.51295295,31472087.424793262,31517944.63786651,30812392.457927883,27051700.598013785,50485339.0423669,44123488.77352754,29866554.030766103,51697010.07001875,87064381.06259854,53740987.77108066,39129306.35632782,99818193.39479654,26181673.519759715,91890086.9287222,120791814.08194284,64224682.79860202,58910439.14237598,32975426.193253774,31151746.436695013,23942985.99550751,60981943.190420896,28531678.909289543,54321896.27006876
B,CREATINE,C4 H9 N3 O2,19639004.47756724,17653552.074903604,11144645.427304626,6272328.578236636,28023208.988744758,20868786.878438078,22542215.011567127,19133767.897184297,26498849.074205283,37209250.79423719,9524305.755800273,18571691.532343052,18647658.882381614,31978270.607083872,31680610.611877453,28992921.476827506,25339248.07620677,18624290.33295038,16433611.112682406,13005992.556319596,21679911.68668817,22991397.961004246,25053438.556045245,5196566.712986607,11152297.56788127,32415254.96699109,8223628.207566214,20411590.8475174,26742956.2443786,26533451.76034005,33421787.10697338,15784824.437902033,12467773.872884993,19541878.61974769,15173117.626035301,17958050.25529219,14987678.244047882,23225416.7532123,20637312.836775515,7760571.444785899,22200111.09285933,53062692.70032408,49015044.745113656,16293760.474363772,16607082.345390545,3680870.726670791,23239046.902170938,23796068.704386566,16027444.10281154,15023722.246758193,25221045.780330196,21541260.19667499,23501897.13861717,27554075.493275292,30361592.800141722,5891764.989258367,34765394.72856603,85375773.87686716,92427461.15940721,35250573.51083661,21854566.58735978,78443381.9964556,65398590.34581747,81148103.14423522
D,CREATININE,C4 H7 N3 O,61495375.81697937,56136112.32681667,71402186.1514437,78087841.01049899,82150548.38194123,92285495.23289482,81010662.75232278,56028935.18980128,66556599.026533246,70314561.23331097,92461062.54527704,60784305.1254059,41583761.183272146,73921056.68198852,81346538.5015834,117823597.76187499,61890201.95379827,68135401.43911661,67862727.84422043,65803437.61982612,66856080.20037462,95197479.00088643,58158289.99245704,50042565.63338782,41602571.79522724,26189172.666299526,58442315.40989155,62841688.596597336,42803834.5902719,38583498.06721851,67356499.06864537,58981450.29339792,21847550.235629894,37286214.59652134,18424725.22410762,26313264.721248765,29202322.851447314,43614703.92092771,34273314.20506082,46379627.42143139,23986058.644846246,56434859.69500768,20662742.46312482,36942083.61192854,39795296.54328184,36357499.49186571,53343847.138575025,40447785.121249475,36272180.617281266,40776325.87765457,23108896.55491453,35522948.42693911,34394650.421646334,40824030.50985213,16460056.826548938,35385021.793521784,32476250.474897113,44072891.93577264,34605342.76620508,12917625.281450912,13257144.010750955,34859681.22450242,26477380.943365984,8647283.031466112
A,CYSTATHIONINE,C7 H14 N2 O4 S,154851319.4537346,180761583.63048318,201540716.61402544,186802429.82338294,170994641.94745886,134733323.00310436,135552581.80351925,209540694.39156815,158073838.7198128,167714489.7664917,155541335.9166719,156738290.6619985,119951089.260246,151943454.81683972,151693327.7250831,233969789.37833872,134983883.3458871,146904436.1399186,189508821.35213798,151393989.58067515,137549837.7681768,117982568.1748345,146517809.85378695,98645870.7346213,114100681.07890514,138224438.23390347,99730415.23029199,112763109.95937282,58687821.7059362,120597715.19708772,120258282.65581897,114338925.60925996,99870007.76800458,173268864.77795878,115903552.13715775,130306224.48681478,130176728.59429184,139702887.8725085,129179940.35304826,116906869.77399687,75515200.49271712,134501239.67195982,94043916.10241072,118418406.34994288,67361156.01650041,110230382.00382268,114616746.83551292,101529658.60712428,83507307.7021291,113465738.97288427,124779453.45796782,122091466.07675438,55116296.40414471,107279359.62620227,79478978.76793742,82075346.20261243,92121637.78396098,82428359.45161664,73429641.30590238,89580346.26407813,55775201.297383115,85919368.00649954,63181898.73101476,74529525.37567765
A,Cystine,C6 H12 N2 O4 S2,515834366.5698876,475872639.2459135,522258988.76282895,371520146.63900024,495227023.2003833,323535268.5917486,334632477.1823312,546300282.2510741,421418524.8506224,416102832.5906594,485515426.93499666,314584993.80531466,420199026.98176634,371608946.7071542,411102387.8668118,671494335.656409,412528009.82648957,297699358.7242219,448445866.16537124,293019809.47744477,475303947.57531,354162534.1252309,403908413.0322547,328166467.5207442,339874301.70541686,340865789.7997363,293014639.12258667,312638108.35570896,210671693.641548,315222520.01019484,364108790.8582311,367954907.6179383,381351023.35989684,575253445.6036035,329380018.0154846,325044652.6274166,413098384.0116168,403757589.10015494,314178644.58231544,352808288.51293635,398458594.2410938,423051798.2225497,365928134.72262836,365649887.49037755,267900095.7046132,331454552.9980062,457631546.54844797,412459741.859668,343403956.83324593,358951622.59906745,382848426.01989734,356688015.0210028,271686469.0250718,318699488.47550994,232935503.51720628,345286840.1606165,434716999.4110462,371188856.68225765,345875429.79638255,332817072.6701212,217924897.44178116,308836750.54064846,311678081.05388975,308394357.7619999
A,CYTIDINE,C9 H13 N3 O5,269352621.5888594,158046271.12908044,279313719.5892647,176136429.8444221,167486186.99441385,153885575.09433633,381519595.2180294,205421984.53955287,148804972.6761757,181464921.44873485,209916461.6606685,297898261.2927323,168964811.23148128,124676124.44294244,262253994.7372812,195204575.32339308,117018789.21529637,185409227.65776643,155098691.5828829,122229715.81016806,185869613.10830387,142750213.66612294,171292799.1258576,160653729.5060047,206038119.316198,146922326.48034427,146100104.37560368,81902741.82101703,219280487.771368,221094101.4380785,158781946.67177492,133255809.90200153,103190821.14664611,145324282.04511946,205737159.10673288,133015262.60714942,128834109.70315048,179598562.00764763,236659336.2105219,248509323.94770023,81067620.8654337,165091520.23782587,161388183.7906705,139469416.72828472,165966359.87314925,169295290.60258648,218380750.61798432,160508062.6545314,86734811.09510684,137834749.51991993,215191314.98502213,175882740.73522532,92270714.95715089,139083708.7711639,164762859.4017189,64756009.36480946,76928156.4216491,115184087.03832917,199460402.22228065,138962770.22506908,110618694.02823964,125500572.97260222,191585993.44433662,132365643.84318009
B,CYTOSINE,C4 H5 N3 O,32988253.836445052,18866448.45878639,33463084.576679066,22072386.094997372,22635964.392213184,18303590.603742756,43367976.105791904,25940593.66272319,18446857.59887969,25539630.735869173,27705635.71004846,34561457.137772754,21898116.795976076,15984196.678573554,31590838.71865721,27070410.442643117,15936629.385319747,25327774.933367394,20114101.853425223,16685161.06228391,26569036.39984672,20179812.37940272,21197517.98094695,21259532.714034293,24854781.878518652,18336173.338423807,18948656.18899336,10818556.4280534,25477568.7496597,25575512.284331713,22624188.422418423,17107832.04932359,12745810.82911439,19151346.746800628,25948500.117665354,16657146.734476568,17656581.260103315,22023062.78347776,29428418.547508344,29106494.271331217,12885196.104864929,23255118.085532427,19556694.776513163,18567378.160685655,20926857.267352223,22752282.086102083,27824445.89539886,20672240.582373314,16668294.677037163,20293887.810315467,25413626.94760051,21732814.039615933,16367409.688876545,18078516.195505075,21277582.758291673,12105848.352744339,10820803.62922354,15487985.830767086,24457989.860146083,18368904.205265276,14624535.798178855,16457138.77360335,23944886.321544193,17133592.92493695
