Tags,Name,Formula,T1C1,T1C2,T1C3,T1C4,T1C5,T1C6,T1C7,T1C8,T1WB1,T1WB2,T1WB3,T1WB4,T1WB5,T1WB6,T1WB7,T1WB8,T2C1,T2C2,T2C3,T2C4,T2C5,T2C6,T2C7,T2C8,T2WB1,T2WB2,T2WB3,T2WB4,T2WB5,T2WB6,T2WB7,T2WB8,T3C1,T3C2,T3C3,T3C4,T3C5,T3C6,T3C7,T3C8,T3WB1,T3WB2,T3WB3,T3WB4,T3WB5,T3WB6,T3WB7,T3WB8,T4C1,T4C2,T4C3,T4C4,T4C5,T4C6,T4C7,T4C8,T4WB1,T4WB2,T4WB3,T4WB4,T4WB5,T4WB6,T4WB7,T4WB8
A,"2,6-Dihydroxybenzoic acid",C7 H6 O4,284311483.03797656,359139654.74771273,360683393.968128,371577846.10103494,272875627.65837485,373670765.04850304,269336478.1014372,645962306.2359407,355544490.85213006,395331254.8816643,245191174.13780102,355192417.26833713,263553843.7679863,208806990.34904435,199361532.14347437,650297973.2989962,355848448.15517086,295059444.75564384,409839216.9935368,394532493.8922207,568828731.7102972,555764077.7668058,492760015.7557174,492001198.3861229,314481415.70491344,387808056.1162185,429640682.4821355,326023136.0843145,465529658.445619,392694468.7259339,502151287.8189439,401284573.97743344,80102383.2333789,214787660.92990106,45484176.496169545,48867061.275225684,58549595.7385116,135457925.76851395,53943805.85713555,315789029.1647597,51268242.7621295,347776233.9468153,48827889.35798643,98302916.03254355,342533429.7367476,41659189.09304,322631518.94784945,217312313.5400441,78531093.17900696,87563378.80211054,76117523.87841493,49953910.41130852,38500880.36169839,165402004.3829099,41389403.43027574,50085356.90697938,69053532.57261553,35240581.33410376,122495070.92491135,41749465.33583011,127552045.8304169,37744222.875696264,101324892.14537661,106497046.63986032
D,"2,6-DIHYDROXYPYRIDINE",C5 H5 N O2,8633371.412643028,5204240.144459713,7298692.19188044,4770723.03610514,4416456.843136601,3355258.522894351,11176517.756257582,4592835.897186856,4925141.916332619,3520759.0928993598,5196656.201107058,8977250.81801421,2632589.071180281,2006427.163165147,8021300.976755787,4056874.293418852,2685718.6534349103,5935370.334622194,1813003.357248677,3148707.6091220183,4958088.056985305,3022670.4342993638,3288545.170451025,5095805.519828046,5359409.310011526,1922377.9851292705,4287444.618648494,1713554.5080996973,5518920.04737974,5475047.121207644,4873159.684594386,3491573.183625422,4000625.9196779635,3868801.4792329506,5850168.984324618,3233467.3635437135,3742343.1435764004,4672443.358441435,7088765.889580042,7829549.266947687,2396775.2377781384,2602851.1186362603,4439372.812273026,4724222.236611342,5046874.564946379,6452819.190115298,8584886.021494482,4701373.611940358,3839103.6230523777,5029301.093677895,8946303.666050807,4591520.173263771,2366778.9444412407,5704511.822514991,5516497.886092066,2090769.0621336268,1571639.7530822512,2457098.711697798,8651506.345678488,5677563.25032216,4172773.166377023,5631609.649427597,8054669.396328867,3407131.370772208
C,2-Aminoadipic acid,C6 H11 N O4,56867871.338702515,84977137.42440009,82950451.0013759,67815266.31544371,93980417.7217357,88523385.58682482,90135167.491257,144239843.777442,112708895.4803153,94870910.43084827,104022889.46797931,49133520.201502256,86791882.3047556,112365379.1363041,80222139.00735343,158390383.48360315,68259665.44663948,71985364.69476974,81741982.12481506,59100933.4797584,93292404.88920441,110242819.2931422,123060838.86819671,60824003.60477635,44634134.08067641,71701387.82287048,80812276.67102443,76504418.36203305,52355477.1727875,66471301.694790065,82604956.328411,90191004.79705968,66988858.47256682,96566454.508679,59734184.039732404,47856330.467039116,76424074.85526623,91155470.48468347,68444102.94174005,65406604.43449305,87970195.67344856,66899797.67111788,57588097.93312192,58429264.553160675,53857791.84938981,79972675.56465712,80927226.76564981,63353294.20416945,56337516.26751223,62173760.46760531,58931490.16904387,45209018.76523355,75615471.55261973,66822583.24060514,65668011.26758075,96313306.68030839,65501107.55357681,54974808.35602563,49939633.5396115,44840378.37526246,37898109.14404032,61773793.38202458,46236788.423125505,64038826.25402129
C,2-C-methyl-D-erythritol 4-phosphate,C5 H13 O7 P,7788315.251151225,6395090.713285579,7364855.25388866,6258766.982355352,6363221.074635881,6161539.160649912,3041828.536721618,7440478.865604104,6610639.431562803,7822998.684346116,8125205.366119216,6139239.340880153,6182089.855793767,6798195.235060235,6853753.508083726,11276296.001516312,5745097.981648077,5865074.709105856,8438411.924394092,5369755.360229183,6062921.396606066,8091078.83309439,7546886.7285559885,4778220.563818944,5384937.14914703,6535100.5964459395,5888915.31887303,5198353.630190305,4128622.95123703,4869384.629632467,4942536.324737913,7798420.424314706,4528810.174846295,5251678.339967238,3952375.0801451537,3866763.356956039,4777261.510283307,5599903.409607537,5287568.960828986,5279708.0798112005,3756842.9242824386,7130871.572787507,3746337.946389592,4562250.350181389,4213337.181581278,5360814.1880301,6197825.526264131,5925209.906628878,5580255.650835583,5421567.486935786,5037330.262630889,3359412.392460072,5426635.879214144,6479263.427970393,5133969.64516636,5704498.170695957,4733764.587687511,5965803.751058552,4400076.723058382,5717689.222961599,2679977.009985279,3791377.545977472,4624128.0447744625,5478222.325454895
B,2-Deoxy-D-ribose,C5 H10 O4,54188324.77783514,73954606.26002121,77455840.12402141,71258275.75785221,78748879.8242105,66086319.57571065,66221584.817113236,113330154.50728846,74916481.4177485,96332459.47050096,104604370.72587158,71744945.74464734,72768566.3947849,69702089.77401114,80205356.2231671,132612115.17414322,55426098.98040589,55503195.6792796,66761256.280637376,59942927.152673356,57610236.89018061,59717485.11360075,77057240.85479784,55061428.023868725,38541521.063254066,52340504.72895172,71740517.71951234,52363227.503987335,44576692.079451,46742125.70782924,62278686.087627105,65305568.99360204,51824468.040794775,134777824.48339823,70796387.39277388,64340943.501059644,60968073.75020895,82042080.77925721,62427646.93207061,64813181.481591426,107789031.3884092,59994764.43998213,72166683.04533625,57389765.86427544,52108932.48884096,81516686.23952857,73761437.49376795,57971444.52636624,50767667.827610835,90980564.806408,72968922.75318798,74622135.43439072,142080920.83846784,54629841.5146945,130459344.25711128,280290687.79569775,104020653.59761713,58145515.448846765,72236368.68470821,50082839.86743688,36476810.80346387,101057448.02383232,44988411.325978495,61298082.34594177
A,2-Ethyl-2-hydroxybutyric acid,C6 H12 O3,66925627.46039159,108000574.72033338,69171659.50525193,46009039.204208024,98695501.293585,72958920.6279525,79488163.37303504,98161458.27978338,107883425.25140266,110309190.58299516,97180936.02802362,61925106.444047414,86602002.6305104,102525684.79301247,66507293.55222756,116669684.605559,67717378.70662864,65699901.15168817,55347589.14309211,44298956.37483981,64844085.686609015,65114467.875790894,88145548.61980642,38449702.54865758,55248633.281188495,52272359.068378285,60468038.161359504,71710006.27831218,45025306.7577457,40498497.86411375,48328837.15538945,56027127.34275888,27044717.828128494,91996577.26622246,27480683.28474258,50308750.13240129,63831438.611989304,28980985.57898457,30747541.88972656,25523348.492699575,131269962.12767191,39927007.10690159,29690605.733012687,30114937.1925442,27114320.20560414,35194174.91045063,38312096.07927657,30631569.338737667,38229236.15854322,55706587.63384932,34342458.11459214,26933301.265858922,148695669.51333386,18983754.321193844,68338766.61600551,109127161.5579965,48798656.06187903,33459568.42623335,23702333.55619897,25765984.46766881,17421065.37388866,59866576.14323002,20315780.77888022,51145905.70007648
D,2-Hydroxy-2-(4-hydroxyphenyl)acetic acid,C8 H8 O4,6570817.49201607,8329845.911234915,6360188.528414706,6599093.962230553,10479512.570652043,6495325.0341333365,9653510.628471715,8710437.64976282,9528493.033444187,6254707.359664461,11547826.472171335,6070055.966016512,9922354.540733239,9039338.51745548,9220777.936897771,11061801.315153437,7832744.259626754,4670860.562576992,5694663.804035743,8340577.455376098,7429490.2429717695,6098413.785517613,12271981.83611071,4747308.790574567,6214798.937310446,3721554.146713535,6929231.560970441,6715198.112046675,5693989.97309351,4979451.698663853,6750833.509212684,5601371.487937439,6022652.070081748,5373962.061008936,4633304.351575712,7621294.135746655,7038014.096009191,5098253.078753102,7860566.575112551,4536681.833958719,5519808.509996713,3942474.5693599884,6361186.037978822,5014482.1533945985,5987728.013747857,5191347.840503699,2757169.805135897,4655333.499985079,5590960.911541899,5071115.158310344,5705338.419459256,6629115.578469219,3270472.357262388,2725257.997895798,5841950.47689481,5006466.439190662,4562577.122124434,3106087.948236731,4403868.656475004,4455615.016681252,3062164.0342152193,3381547.377266447,2806456.1652428717,3987250.643747801
B,2-Hydroxy-2-methylbutyric acid,C5 H10 O3,70418784.58679602,151132773.79288143,88976638.49683174,67057759.46644962,203347017.81442302,80958729.1283135,82896207.59768629,240546769.72637838,150366538.33702603,127310055.94030438,184633211.6525392,110011790.05581126,92907197.9694781,94162002.41167678,59313472.84947521,192351550.42323518,66161750.59951468,64260334.99681913,70340046.89298213,61143801.89093895,102662068.77653302,61194964.54946621,121983935.14189257,65316410.94621447,44100879.249573044,64417347.3988684,85057816.55195622,107507120.9565365,35991885.9883813,40115532.19884953,55313694.96285771,81999178.76959486,25397909.464676976,41334448.05775082,33039109.61354068,25005941.101968575,39587762.94932781,28870495.733959217,33215051.796672247,37024415.79218477,60959764.70272191,40092868.40822562,36542870.62954784,34300782.17221776,29917251.55548059,28892088.074191827,37448209.51815753,39218611.27122491,31794483.029833674,31235459.891867034,24732343.866996557,28387545.702456567,51770908.57486428,22337366.198760126,31040475.363511935,41507929.63285758,30544941.169620916,26793351.9727025,27411833.789884176,28974602.487610266,17572030.837368187,28965783.39520724,19804215.22335033,37678741.406146966
A,2-Hydroxy-3-(4-hydroxyphenyl)-2-propenoic acid,C9 H8 O4,16740344.771770919,143303673.7348526,22832431.88771665,7704112.837706482,14356058.980789322,21418186.06579686,17872612.998205714,14193512.002082488,13333477.566778943,8131554.229777232,735512.3538104926,3162758.8919223724,56430327.29731537,23242060.169168986,65451749.21481476,22318003.565083474,74611089.14655848,17099316.123877477,5051613.613647877,5314328.975492624,14373344.97727391,14292274.221745573,55252644.5583116,7062759.070983012,12916189.493858343,4126351.9435764644,13032336.641123025,68896356.88581099,34468982.5095991,10210639.906273006,15079659.998627985,3900544.6880512354,4457506.267781729,15757966.744796453,7478660.465493377,21057711.664601907,29398895.6356024,18659826.95797031,18418699.784869503,9846199.55299589,22733471.07377712,3608163.5453664986,34340791.70535268,2322415.586933241,1454966.5985371256,31259753.305730704,34985462.48759509,10901228.686764266,2905719.3762637,26154223.43234327,58102452.37549637,6443130.490715443,14608092.616484376,19556785.48224852,23394047.51393502,4298012.906448222,326272.4124134751,6647998.430136348,17203645.93971518,8241699.166045918,18104823.542965394,14459292.424006794,17640424.150845826,15947215.113136569
A,2-Hydroxy-3-methylbutyric acid,C5 H10 O3,258683957.8758457,556359128.3224448,397759512.1920071,270233691.47548974,708995756.4990562,315448648.39024174,337566272.3196919,947216921.8296183,563896546.3657049,512474137.5208978,617358314.457748,385345085.40867424,381263320.88039035,344685805.8396198,248899420.31358057,740967706.6716315,281743834.65144104,266160888.9300273,328478406.6180869,224220369.31445712,397512648.08469635,263232083.7635897,442322266.62892175,226490753.01987952,179944672.8969718,277822800.10593086,355246506.82254916,405947375.6692554,151891456.074784,148800355.3558535,204788939.48252892,321263001.277375,103920281.6435128,163043595.29802096,150932528.39640662,97091375.59548645,156721471.5229765,120668853.98018177,139348474.0321616,149499649.30917707,235923300.19072652,154341172.81182137,142081451.44590017,138907332.05676267,117734908.74922892,118993677.57122254,140478127.76850557,164648404.19556198,115259889.34677152,108262440.8273823,121263353.51261666,110580364.67846899,164967324.12869784,79319793.27528253,128223359.24960162,159961292.95083907,116110360.36511189,109557437.07561116,112134329.12593125,118806754.33873552,60866419.119083844,107116683.89617166,74975250.15629481,140237563.94068843
